title,manufacturer,model,year,condition,functionality,price,currency,location,country,dimensions,weight,electrical,description,seller_name,seller_verified,listing_id,category,detail_url,image_url,last_updated
Schälmaschine Nilma T 9178A,Nilma,T 9178A,1995,gebraucht,funktionsfähig,22.808,EUR,"Hannover, Deutschland",Deutschland,,162 kg,,Nilma T 9178A - Schälmaschine Nilma T 9178A. Kategorie: Obstverarbeitung & Gemüseverarbeitung. Zustand: gebraucht. Sofort verfügbar ab Lager.,Anlagenbau Schneider,No,11079946,Obstverarbeitung & Gemüseverarbeitung,https://www.maschinensucher.de/nilma-t+9178a/i-11079946,https://cdn.machineseeker.com/img/listings/11079946/1.jpg,02.04.2025
Intensivmischer Diosna L 9383,Diosna,L 9383,2015,neuwertig,eingeschränkt funktionsfähig,86.596,EUR,"Stuttgart, Deutschland",Deutschland,4917 x 2931 x 2930 mm,931 kg,Spannung: 230V 60Hz; Leistung: 18.5 kW,Verkauf einer Intensivmischer Diosna L 9383 vom Hersteller Diosna. Das Modell L 9383 ist bekannt für seine Zuverlässigkeit. Zustand: neuwertig.,Techno-Food Systems,Yes,65471980,Mischanlagen,https://www.maschinensucher.de/diosna-l+9383/i-65471980,https://cdn.machineseeker.com/img/listings/65471980/1.jpg,02.06.2026
Überziehmaschine Hacos P3751A,Hacos,P3751A,1999,überholt,voll funktionsfähig,86.224,EUR,"Lyon, Frankreich",Frankreich,,3758 kg,Spannung: 380V 50Hz; Leistung: 1.5 kW,Überziehmaschine Hacos P3751A von Hacos. Modell P3751A. Zustand: überholt. Maschine ist einsatzbereit und kann sofort geliefert werden.,Techno-Food Systems,No,12249309,Süßwarenmaschinen,https://www.maschinensucher.de/hacos-p3751a/i-12249309,https://cdn.machineseeker.com/img/listings/12249309/1.jpg,16.12.2026
Pasteur Tetra Pak M5580HD,Tetra Pak,M5580HD,2018,gut (gebraucht),funktionsfähig,Preisinfo,,"Brno, Tschechien",Tschechien,3168 x 255 x 2332 mm,2888 kg,Spannung: 230V 60Hz; Leistung: 15 kW,Zu verkaufen: Pasteur Tetra Pak M5580HD (Tetra Pak M5580HD). Die Maschine befindet sich in gut (gebraucht)em Zustand. Besichtigung nach Vereinbarung möglich.,IndustriePark Nord,No,69798677,Getränkemaschinen,https://www.maschinensucher.de/tetra+pak-m5580hd/i-69798677,https://cdn.machineseeker.com/img/listings/69798677/1.jpg,26.08.2026
Verarbeitungsanlage Ystral T 6174i,Ystral,T 6174i,2025,gebraucht,eingeschränkt funktionsfähig,14.370,EUR,"Dresden, Deutschland",Deutschland,4291 x 240 x 2505 mm,1257 kg,Spannung: 220V 50Hz; Leistung: 37 kW,Verarbeitungsanlage Ystral T 6174i von Ystral. Modell T 6174i. Zustand: gebraucht. Maschine ist einsatzbereit und kann sofort geliefert werden. CE-Kennzeichnung vorhanden.,ProMach Handels GmbH,No,74531855,Maschinen für Feinkost,https://www.maschinensucher.de/ystral-t+6174i/i-74531855,https://cdn.machineseeker.com/img/listings/74531855/1.jpg,01.11.2024
Produktionsmaschine Ystral M 1877E,Ystral,M 1877E,1999,gebraucht,eingeschränkt funktionsfähig,815,EUR,"Amsterdam, Niederlande",Niederlande,2616 x 2133 x 1250 mm,25 kg,Spannung: 230V 50Hz; Leistung: 2.2 kW,Ystral Typ M 1877E. Produktionsmaschine Ystral M 1877E. Die Anlage wurde professionell gewartet und befindet sich in einem sehr guten Zustand.,Nordic Machine Trading,Yes,9515675,Labortechnik für Lebensmittel,https://www.maschinensucher.de/ystral-m+1877e/i-9515675,https://cdn.machineseeker.com/img/listings/9515675/1.jpg,14.05.2025
Produktionsmaschine Netzsch 6641Pro,Netzsch,6641Pro,2000,neuwertig,voll funktionsfähig,138.836,EUR,"Zürich, Schweiz",Schweiz,1445 x 1708 x 3440 mm,,Spannung: 380V 60Hz; Leistung: 1.5 kW,Zu verkaufen: Produktionsmaschine Netzsch 6641Pro (Netzsch 6641Pro). Die Maschine befindet sich in neuwertigem Zustand. Besichtigung nach Vereinbarung möglich. Inklusive Dokumentation und Bedienungsanleitung.,Industriehandel Schmidt,Yes,22134840,"Kaffee-, Tee- & Tabakmaschinen",https://www.maschinensucher.de/netzsch-6641pro/i-22134840,https://cdn.machineseeker.com/img/listings/22134840/1.jpg,23.04.2026
Geschirrspüler Bertos N 8789,Bertos,N 8789,2023,sehr gut (gebraucht),nicht geprüft,4.393,EUR,"Amsterdam, Niederlande",Niederlande,765 x 1683 x 1797 mm,42 kg,Spannung: 480V 50Hz; Leistung: 37 kW,Bertos Typ N 8789. Geschirrspüler Bertos N 8789. Die Anlage wurde professionell gewartet und befindet sich in einem sehr guten Zustand. CE-Kennzeichnung vorhanden.,FoodTech Solutions GmbH,No,24049214,Küchentechnik,https://www.maschinensucher.de/bertos-n+8789/i-24049214,https://cdn.machineseeker.com/img/listings/24049214/1.jpg,19.06.2025
Produktionsmaschine Rieter X 2101E,Rieter,X 2101E,2026,neuwertig,voll funktionsfähig,934,EUR,"Paris, Frankreich",Frankreich,2889 x 2113 x 2094 mm,,Spannung: 220V 50Hz; Leistung: 45 kW,Zu verkaufen: Produktionsmaschine Rieter X 2101E (Rieter X 2101E). Die Maschine befindet sich in neuwertigem Zustand. Besichtigung nach Vereinbarung möglich. Preis ist VB (Verhandlungsbasis).,ProcessTech Europe,No,14712889,Pulverherstellung & Verarbeitung,https://www.maschinensucher.de/rieter-x+2101e/i-14712889,https://cdn.machineseeker.com/img/listings/14712889/1.jpg,15.05.2026
Verarbeitungsanlage Dinnissen K-9905XL,Dinnissen,K-9905XL,1998,gebraucht,funktionsfähig,1.248,EUR,"Salzburg, Österreich",Österreich,4626 x 1001 x 1188 mm,,Spannung: 380V 50Hz,Dinnissen Typ K-9905XL. Verarbeitungsanlage Dinnissen K-9905XL. Die Anlage wurde professionell gewartet und befindet sich in einem sehr guten Zustand.,Maschinen Müller GmbH,Yes,31193583,Kartoffelchipsherstellungsmaschinen,https://www.maschinensucher.de/dinnissen-k-9905xl/i-31193583,https://cdn.machineseeker.com/img/listings/31193583/1.jpg,18.09.2025
Pflugscharmischer Zeppelin F-6602-M,Zeppelin,F-6602-M,2016,überholt,funktionsfähig,68.116,EUR,"Amsterdam, Niederlande",Niederlande,,,Spannung: 400V 50Hz; Leistung: 30 kW,Zeppelin F-6602-M - Pflugscharmischer Zeppelin F-6602-M. Kategorie: Mischanlagen. Zustand: überholt. Sofort verfügbar ab Lager.,Dietrich Industrieanlagen,No,76574640,Mischanlagen,https://www.maschinensucher.de/zeppelin-f-6602-m/i-76574640,https://cdn.machineseeker.com/img/listings/76574640/1.jpg,12.06.2025
Prozessanlage Ystral H8630-M,Ystral,H8630-M,2018,gut (gebraucht),eingeschränkt funktionsfähig,21.900,EUR,"München, Deutschland",Deutschland,645 x 2743 x 2911 mm,,,"Gebrauchte Prozessanlage Ystral H8630-M, Hersteller: Ystral, Typ: H8630-M. Maschine wurde generalüberholt und ist betriebsbereit.",ProMach Handels GmbH,No,36751166,Getreideverarbeitung,https://www.maschinensucher.de/ystral-h8630-m/i-36751166,https://cdn.machineseeker.com/img/listings/36751166/1.jpg,17.02.2026
Kombinationswaage Kemper 847i,Kemper,847i,2020,gebraucht,funktionsfähig,17.442,EUR,"Madrid, Spanien",Spanien,3479 x 632 x 2999 mm,7760 kg,Spannung: 380V 50Hz; Leistung: 11 kW,Kemper Typ 847i. Kombinationswaage Kemper 847i. Die Anlage wurde professionell gewartet und befindet sich in einem sehr guten Zustand. Inbetriebnahme und Schulung möglich.,Techno-Food Systems,Yes,58112229,Waagen (Lebensmittel),https://www.maschinensucher.de/kemper-847i/i-58112229,https://cdn.machineseeker.com/img/listings/58112229/1.jpg,06.08.2025
Fertigungsmaschine Krones N-7466Plus,Krones,N-7466Plus,,gebraucht,nicht geprüft,46.578,EUR,"Warschau, Polen",Polen,1653 x 348 x 1772 mm,157 kg,Spannung: 230V 50Hz; Leistung: 22 kW,Fertigungsmaschine Krones N-7466Plus von Krones. Modell N-7466Plus. Zustand: gebraucht. Maschine ist einsatzbereit und kann sofort geliefert werden.,Anlagen Center Berlin,No,42765036,Lagerung & Handhabung,https://www.maschinensucher.de/krones-n-7466plus/i-42765036,https://cdn.machineseeker.com/img/listings/42765036/1.jpg,02.08.2025
Eiscrusher Hosokawa XL-637B,Hosokawa,XL-637B,2019,überholt,voll funktionsfähig,4.675,EUR,"Essen, Deutschland",Deutschland,643 x 1916 x 1658 mm,528 kg,Spannung: 480V 50Hz; Leistung: 15 kW,Verkauf einer Eiscrusher Hosokawa XL-637B vom Hersteller Hosokawa. Das Modell XL-637B ist bekannt für seine Zuverlässigkeit. Zustand: überholt.,TechniTrade GmbH,No,18456934,Eismaschinen,https://www.maschinensucher.de/hosokawa-xl-637b/i-18456934,https://cdn.machineseeker.com/img/listings/18456934/1.jpg,02.05.2026
Etikettiermaschine BrauKon -1299B,BrauKon,-1299B,2011,gut (gebraucht),nicht geprüft,8.397,EUR,"Krakau, Polen",Polen,2500 x 455 x 739 mm,13441 kg,,"Gebrauchte Etikettiermaschine BrauKon -1299B, Hersteller: BrauKon, Typ: -1299B. Maschine wurde generalüberholt und ist betriebsbereit. Inbetriebnahme und Schulung möglich.",Ost-Technik Vertrieb,No,46868682,Getränkemaschinen,https://www.maschinensucher.de/braukon--1299b/i-46868682,https://cdn.machineseeker.com/img/listings/46868682/1.jpg,26.03.2026
Waschmaschine KRONEN L 5840,KRONEN,L 5840,2014,sehr gut (gebraucht),funktionsfähig,110.787,EUR,"München, Deutschland",Deutschland,4553 x 2180 x 952 mm,3876 kg,Spannung: 230V 50Hz; Leistung: 22 kW,Verkauf einer Waschmaschine KRONEN L 5840 vom Hersteller KRONEN. Das Modell L 5840 ist bekannt für seine Zuverlässigkeit. Zustand: sehr gut (gebraucht). Inbetriebnahme und Schulung möglich.,Machinery Europe GmbH,No,51563015,Obstverarbeitung & Gemüseverarbeitung,https://www.maschinensucher.de/kronen-l+5840/i-51563015,https://cdn.machineseeker.com/img/listings/51563015/1.jpg,22.05.2025
Käsefertiger SIG X-9107-M,SIG,X-9107-M,2022,sehr gut (gebraucht),nicht geprüft,3.177,EUR,"Rotterdam, Niederlande",Niederlande,1419 x 2824 x 3447 mm,,Spannung: 220V 50Hz,SIG Typ X-9107-M. Käsefertiger SIG X-9107-M. Die Anlage wurde professionell gewartet und befindet sich in einem sehr guten Zustand. Preis ist VB (Verhandlungsbasis).,Süd-Maschinen Handel,Yes,8359239,Milch & Milchprodukte,https://www.maschinensucher.de/sig-x-9107-m/i-8359239,https://cdn.machineseeker.com/img/listings/8359239/1.jpg,24.02.2026
Verarbeitungsanlage Ystral E-5010C,Ystral,E-5010C,2002,gebraucht,eingeschränkt funktionsfähig,3.485,EUR,"Prag, Tschechien",Tschechien,,20 kg,Spannung: 230V 60Hz; Leistung: 2.2 kW,Verarbeitungsanlage Ystral E-5010C - Ystral E-5010C. Diese Maschine ist in gebrauchtem Zustand und wurde regelmäßig gewartet. CE-Kennzeichnung vorhanden.,ProcessTech Europe,No,10334963,Molkereianlagen,https://www.maschinensucher.de/ystral-e-5010c/i-10334963,https://cdn.machineseeker.com/img/listings/10334963/1.jpg,16.11.2026
Membranpumpe Flottwerk D 9111C,Flottwerk,D 9111C,1996,gut (gebraucht),nicht geprüft,9.562,EUR,"Wien, Österreich",Österreich,930 x 2234 x 3210 mm,10385 kg,Spannung: 220V 60Hz; Leistung: 11 kW,Flottwerk D 9111C - Membranpumpe Flottwerk D 9111C. Kategorie: Pumpen (Lebensmitteltechnik). Zustand: gut (gebraucht). Sofort verfügbar ab Lager.,Industriehandel Schmidt,Yes,22134624,Pumpen (Lebensmitteltechnik),https://www.maschinensucher.de/flottwerk-d+9111c/i-22134624,https://cdn.machineseeker.com/img/listings/22134624/1.jpg,07.04.2025
Schlauchbeutelmaschine Optima 4550,Optima,4550,2015,gut (gebraucht),nicht geprüft,620,EUR,"München, Deutschland",Deutschland,,,Spannung: 220V 50Hz,"Gebrauchte Schlauchbeutelmaschine Optima 4550, Hersteller: Optima, Typ: 4550. Maschine wurde generalüberholt und ist betriebsbereit. Inbetriebnahme und Schulung möglich.",Bayerische Maschinenhandel,Yes,1724659,Verpackungsmaschinen,https://www.maschinensucher.de/optima-4550/i-1724659,https://cdn.machineseeker.com/img/listings/1724659/1.jpg,12.03.2025
Schläger Lödige M1C,Lödige,M1C,2002,überholt,voll funktionsfähig,4.806,EUR,"Nürnberg, Deutschland",Deutschland,,1631 kg,Spannung: 220V 50Hz; Leistung: 0.75 kW,Zu verkaufen: Schläger Lödige M1C (Lödige M1C). Die Maschine befindet sich in überholtem Zustand. Besichtigung nach Vereinbarung möglich.,TradeMachines International,Yes,32692942,Anschlagmaschinen,https://www.maschinensucher.de/lödige-m1c/i-32692942,https://cdn.machineseeker.com/img/listings/32692942/1.jpg,07.06.2026
Produktionsmaschine Grundfos H4149,Grundfos,H4149,2024,gebraucht,eingeschränkt funktionsfähig,Preisinfo,,"Birmingham, United Kingdom",United Kingdom,3920 x 2186 x 2135 mm,778 kg,,Wir bieten eine Produktionsmaschine Grundfos H4149 der Marke Grundfos (Modell: H4149) an. Zustand: gebraucht. Alle Funktionen geprüft.,MaschinenMarkt24,Yes,6987154,Sonstige Lebensmitteltechnik,https://www.maschinensucher.de/grundfos-h4149/i-6987154,https://cdn.machineseeker.com/img/listings/6987154/1.jpg,05.05.2026
Gefriertunnel Flottwerk P595-S,Flottwerk,P595-S,2002,sehr gut (gebraucht),voll funktionsfähig,362,EUR,"Bielefeld, Deutschland",Deutschland,3383 x 202 x 2080 mm,,Spannung: 220V 60Hz; Leistung: 55 kW,Verkauf einer Gefriertunnel Flottwerk P595-S vom Hersteller Flottwerk. Das Modell P595-S ist bekannt für seine Zuverlässigkeit. Zustand: sehr gut (gebraucht).,Maschinen Müller GmbH,Yes,89976058,Eismaschinen,https://www.maschinensucher.de/flottwerk-p595-s/i-89976058,https://cdn.machineseeker.com/img/listings/89976058/1.jpg,13.07.2025
Prozessanlage Waukesha XL2665,Waukesha,XL2665,2017,neuwertig,voll funktionsfähig,25.005,EUR,"Brüssel, Belgien",Belgien,3507 x 1058 x 2072 mm,103 kg,Spannung: 380V 60Hz,Prozessanlage Waukesha XL2665 von Waukesha. Modell XL2665. Zustand: neuwertig. Maschine ist einsatzbereit und kann sofort geliefert werden.,Lebensmitteltechnik Meier,No,41035901,Pulverherstellung & Verarbeitung,https://www.maschinensucher.de/waukesha-xl2665/i-41035901,https://cdn.machineseeker.com/img/listings/41035901/1.jpg,22.09.2025
Verarbeitungsanlage Netzsch V-9675HD,Netzsch,V-9675HD,2014,gebraucht,nicht geprüft,821,EUR,"Antwerpen, Belgien",Belgien,2382 x 1902 x 1213 mm,29 kg,Spannung: 480V 50Hz; Leistung: 7.5 kW,Wir bieten eine Verarbeitungsanlage Netzsch V-9675HD der Marke Netzsch (Modell: V-9675HD) an. Zustand: gebraucht. Alle Funktionen geprüft. Weitere Bilder auf Anfrage.,Maschinen Müller GmbH,Yes,13157736,Gastronomiemaschinen & -Geräte,https://www.maschinensucher.de/netzsch-v-9675hd/i-13157736,https://cdn.machineseeker.com/img/listings/13157736/1.jpg,16.10.2025
Tiefziehverpackungsmaschine Ishida E-1485C,Ishida,E-1485C,2006,sehr gut (gebraucht),voll funktionsfähig,Preisinfo,,"Kopenhagen, Dänemark",Dänemark,3080 x 2476 x 3263 mm,4311 kg,Spannung: 230V 60Hz; Leistung: 11 kW,Tiefziehverpackungsmaschine Ishida E-1485C von Ishida. Modell E-1485C. Zustand: sehr gut (gebraucht). Maschine ist einsatzbereit und kann sofort geliefert werden.,ProcessTech Europe,Yes,5478296,Verpackungsmaschinen,https://www.maschinensucher.de/ishida-e-1485c/i-5478296,https://cdn.machineseeker.com/img/listings/5478296/1.jpg,15.01.2026
Maischebottich Grundfos H-3753,Grundfos,H-3753,2016,gut (gebraucht),voll funktionsfähig,73.446,EUR,"Nürnberg, Deutschland",Deutschland,,3350 kg,Spannung: 480V 50Hz; Leistung: 22 kW,Maischebottich Grundfos H-3753 von Grundfos. Modell H-3753. Zustand: gut (gebraucht). Maschine ist einsatzbereit und kann sofort geliefert werden. Weitere Bilder auf Anfrage.,Lebensmitteltechnik Meier,No,33479872,Brauereianlagen,https://www.maschinensucher.de/grundfos-h-3753/i-33479872,https://cdn.machineseeker.com/img/listings/33479872/1.jpg,18.09.2024
Verarbeitungsanlage Krones A-9677E,Krones,A-9677E,2020,überholt,funktionsfähig,3.804,EUR,"Graz, Österreich",Österreich,3624 x 1926 x 1521 mm,14582 kg,,Zu verkaufen: Verarbeitungsanlage Krones A-9677E (Krones A-9677E). Die Maschine befindet sich in überholtem Zustand. Besichtigung nach Vereinbarung möglich.,Deutsche Industriemaschinen,No,64661568,Lagerung & Handhabung,https://www.maschinensucher.de/krones-a-9677e/i-64661568,https://cdn.machineseeker.com/img/listings/64661568/1.jpg,15.02.2025
Gärschrank Kemper H 1565B,Kemper,H 1565B,2009,überholt,eingeschränkt funktionsfähig,31.780,EUR,"Barcelona, Spanien",Spanien,4650 x 1858 x 1847 mm,,Spannung: 220V 60Hz; Leistung: 0.75 kW,Wir bieten eine Gärschrank Kemper H 1565B der Marke Kemper (Modell: H 1565B) an. Zustand: überholt. Alle Funktionen geprüft. Weitere Bilder auf Anfrage.,Nordic Machine Trading,Yes,58269046,Bäckereimaschinen,https://www.maschinensucher.de/kemper-h+1565b/i-58269046,https://cdn.machineseeker.com/img/listings/58269046/1.jpg,01.05.2025
Fertigungsmaschine Rieter L-3644,Rieter,L-3644,2017,sehr gut (gebraucht),funktionsfähig,5.596,EUR,"Parma, Italien",Italien,3706 x 2397 x 2782 mm,4076 kg,Spannung: 220V 50Hz,Rieter Typ L-3644. Fertigungsmaschine Rieter L-3644. Die Anlage wurde professionell gewartet und befindet sich in einem sehr guten Zustand. Preis ist VB (Verhandlungsbasis).,Dietrich Industrieanlagen,Yes,69585001,Sonstige Lebensmitteltechnik,https://www.maschinensucher.de/rieter-l-3644/i-69585001,https://cdn.machineseeker.com/img/listings/69585001/1.jpg,17.03.2025
Spiralkneter Bühler E 4849Plus,Bühler,E 4849Plus,2011,neu,voll funktionsfähig,97.481,EUR,"Mailand, Italien",Italien,3134 x 2814 x 2289 mm,,,Bühler Typ E 4849Plus. Spiralkneter Bühler E 4849Plus. Die Anlage wurde professionell gewartet und befindet sich in einem sehr guten Zustand. CE-Kennzeichnung vorhanden.,B&K Maschinenhandel,Yes,61429009,Bäckereimaschinen,https://www.maschinensucher.de/bühler-e+4849plus/i-61429009,https://cdn.machineseeker.com/img/listings/61429009/1.jpg,18.10.2025
Separator Hiller A-7958XL,Hiller,A-7958XL,2011,sehr gut (gebraucht),eingeschränkt funktionsfähig,27.267,EUR,"Hamburg, Deutschland",Deutschland,,,Spannung: 230V 60Hz; Leistung: 1.1 kW,Wir bieten eine Separator Hiller A-7958XL der Marke Hiller (Modell: A-7958XL) an. Zustand: sehr gut (gebraucht). Alle Funktionen geprüft. Ersatzteile verfügbar.,Süd-Maschinen Handel,Yes,48973415,Dekanter,https://www.maschinensucher.de/hiller-a-7958xl/i-48973415,https://cdn.machineseeker.com/img/listings/48973415/1.jpg,28.01.2026
Prozessanlage Bühler X9206-L,Bühler,X9206-L,2025,neu,nicht geprüft,8.803,EUR,"Prag, Tschechien",Tschechien,647 x 1466 x 3069 mm,3020 kg,Spannung: 220V 50Hz; Leistung: 30 kW,"Gebrauchte Prozessanlage Bühler X9206-L, Hersteller: Bühler, Typ: X9206-L. Maschine wurde generalüberholt und ist betriebsbereit.",Koch Industrietechnik,No,30788463,Lagerung & Handhabung,https://www.maschinensucher.de/bühler-x9206-l/i-30788463,https://cdn.machineseeker.com/img/listings/30788463/1.jpg,03.04.2026
Industriemaschine Zeppelin T9644Plus,Zeppelin,T9644Plus,1999,gut (gebraucht),eingeschränkt funktionsfähig,4.033,EUR,"Hamburg, Deutschland",Deutschland,1948 x 1038 x 2770 mm,189 kg,,Zeppelin Typ T9644Plus. Industriemaschine Zeppelin T9644Plus. Die Anlage wurde professionell gewartet und befindet sich in einem sehr guten Zustand. Weitere Bilder auf Anfrage.,Surplus Select BV,No,37290945,Mengenmaschinen,https://www.maschinensucher.de/zeppelin-t9644plus/i-37290945,https://cdn.machineseeker.com/img/listings/37290945/1.jpg,11.05.2026
Waschmaschine TREIF D 371Plus,TREIF,D 371Plus,2020,gut (gebraucht),funktionsfähig,58.071,EUR,"London, United Kingdom",United Kingdom,4519 x 2279 x 2821 mm,,Spannung: 380V 50Hz; Leistung: 75 kW,TREIF D 371Plus - Waschmaschine TREIF D 371Plus. Kategorie: Obstverarbeitung & Gemüseverarbeitung. Zustand: gut (gebraucht). Sofort verfügbar ab Lager.,ProcessTech Europe,Yes,86791571,Obstverarbeitung & Gemüseverarbeitung,https://www.maschinensucher.de/treif-d+371plus/i-86791571,https://cdn.machineseeker.com/img/listings/86791571/1.jpg,05.04.2025
Aufschlagmaschine Hiller W-634A,Hiller,W-634A,2013,gut (gebraucht),funktionsfähig,147.252,EUR,"Kopenhagen, Dänemark",Dänemark,2493 x 2526 x 2990 mm,192 kg,,Zu verkaufen: Aufschlagmaschine Hiller W-634A (Hiller W-634A). Die Maschine befindet sich in gut (gebraucht)em Zustand. Besichtigung nach Vereinbarung möglich.,Ost-Technik Vertrieb,No,26747014,Anschlagmaschinen,https://www.maschinensucher.de/hiller-w-634a/i-26747014,https://cdn.machineseeker.com/img/listings/26747014/1.jpg,01.01.2026
